,0
0,KIRC
1,KIRC
2,KIRC
3,KIRC
4,KIRC
5,KIRC
6,KIRC
7,KIRC
8,KIRC
9,KIRC
10,KIRC
11,KIRC
12,KIRC
13,KIRC
14,KIRC
15,KIRC
16,KIRC
17,KIRC
18,KIRC
19,KIRC
20,KIRC
21,KIRC
22,KIRC
23,KIRC
24,KIRC
25,KIRC
26,KIRC
27,KIRC
28,KIRC
29,KIRC
30,KIRC
31,KIRC
32,KIRC
33,KIRC
34,KIRC
35,KIRC
36,KIRC
37,KIRC
38,KIRC
39,KIRC
40,KIRC
41,KIRC
42,KIRC
43,KIRC
44,KIRC
45,KIRC
46,KIRC
47,KIRC
48,KIRC
49,KIRC
50,KIRC
51,KIRC
52,KIRC
53,KIRC
54,KIRC
55,KIRC
56,KIRC
57,KIRC
58,KIRC
59,KIRC
60,KIRC
61,KIRC
62,KIRC
63,KIRC
64,KIRC
65,KIRC
66,KIRC
67,KIRC
68,KIRC
69,KIRC
70,KIRC
71,KIRC
72,KIRC
73,KIRC
74,KIRC
75,KIRC
76,KIRC
77,KIRC
78,KIRC
79,KIRC
80,KIRC
81,KIRC
82,KIRC
83,KIRC
84,KIRC
85,KIRC
86,KIRC
87,KIRC
88,KIRC
89,KIRC
90,KIRC
91,KIRC
92,KIRC
93,KIRC
94,KIRC
95,KIRC
96,KIRC
97,KIRC
98,KIRC
99,KIRC
100,KIRC
101,KIRC
102,KIRC
103,KIRC
104,KIRC
105,KIRC
106,KIRC
107,KIRC
108,KIRC
109,KIRC
110,KIRC
111,KIRC
112,KIRC
113,KIRC
114,KIRC
115,KIRC
116,KIRC
117,KIRC
118,KIRC
119,KIRC
120,KIRC
121,KIRC
122,KIRC
123,KIRC
124,KIRC
125,KIRC
126,KIRC
127,KIRC
128,KIRC
129,KIRC
130,KIRC
131,KIRC
132,KIRC
133,KIRC
134,KIRC
135,KIRC
136,KIRC
137,KIRC
138,KIRC
139,KIRC
140,KIRC
141,KIRC
142,KIRC
143,KIRC
144,KIRC
145,KIRC
146,KIRC
147,KIRC
148,KIRC
149,KIRC
150,KIRC
151,KIRC
