,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197
e.tdm,1,0,1,0,1,0,0,0,0,1,1,0,0,1,1,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0
t.tdm,723,6591,524,6255,3822,6507,5947,5816,6007,1233,1136,5984,6249,4066,690,994,434,1743,2863,5693,5823,5785,5661,2909,1171,5110,5533,5571,5519,5379,4675,4652,4227,910,4472,1206,7057,958,5359,5945,5651,528,796,5685,1023,4791,1215,3779,5306,5678,421,5612,3121,1104,4691,5238,5101,2809,3296,3555,5433,5228,5316,4925,5012,4642,3311,4863,1815,803,2105,530,4830,1721,4720,1259,3976,4050,1740,3608,3900,1554,3544,3721,3771,3293,3800,4415,649,4952,1693,4603,4857,4681,2965,4596,1112,1918,1731,4327,4352,4181,3188,2672,730,1591,1920,2647,269,1290,4568,4537,5035,2604,394,6777,2549,4085,2892,5236,5406,4279,5359,3964,289,6298,6399,5683,6240,6161,6132,4212,4980,1703,5014,880,8711,4672,6943,6135,805,5917,5909,2196,5860,2349,5779,5779,5723,5714,5653,125,5678,1742,3614,5602,5768,5684,5530,5551,6352,6295,7185,6281,3313,6003,2972,6232,9108,4353,3914,5181,3855,5156,4744,794,1598,5038,4874,4555,4487,4297,4866,4178,4618,4052,3782,3492,2561,2454,2879,5137,7023,5673,404,2225,2722,1781
X200726_at,10.92636082,12.24208956,11.66171595,12.17402096,11.48401143,11.54862825,11.55836942,12.27728776,12.26656978,12.04788858,12.01872502,11.93151056,11.96736417,11.72673554,11.32326931,11.07610696,12.0839872,11.76215281,11.92613632,11.8969182,11.82522601,11.9543851,12.14531198,12.26276906,12.09769028,11.02793745,11.88778449,11.94579303,11.42302303,12.10010366,11.65217223,12.0377214,11.36982669,11.69855222,12.18498392,11.3938134,11.35068315,11.91024544,11.91614811,11.72600646,11.80292801,11.48745809,11.95245177,11.08120851,11.22390274,11.41361785,11.1051855,12.00915492,11.57327918,11.20343163,11.35157412,11.72304621,11.78993699,11.17565049,11.41647946,11.46425663,11.42937434,11.6650311,11.67722809,11.62727782,11.82809028,12.03048842,12.38348276,12.05139661,11.88550758,11.94953296,11.9215532,11.9377262,11.1045958,11.7195661,11.76922067,11.94120204,12.53995663,12.24225498,11.25331086,12.12215262,11.58140097,10.58986507,11.83059292,11.85199257,11.55135574,11.42338534,11.52573504,11.87161296,11.92741161,10.61675127,11.79788557,11.84461441,12.5044654,11.52693505,11.80610123,12.04513087,11.39243046,11.84131485,11.34611807,12.41485031,11.27167448,11.90487948,11.72467159,12.23251814,11.75409081,12.41402032,11.40316838,12.46696943,11.6418142,11.24615405,11.94034366,11.10707285,11.80119235,11.57146153,12.19617491,11.80094213,11.33733088,12.01826683,12.17465014,12.03084768,11.99932707,11.87580473,11.91147917,11.98252578,11.9695452,11.6196184,12.29356871,12.01766287,11.27339708,11.79343554,11.99732211,11.95905707,11.88849993,11.84065187,11.52064068,11.52098797,11.7368732,11.89630298,11.71151502,11.45622303,11.7032878,11.98097066,11.74199776,12.01367439,11.94527901,11.45989867,11.18042253,11.5920123,11.60733094,12.27129515,11.67615138,11.8270504,11.73555473,11.99897396,11.84079503,12.00891378,11.55468664,12.0205861,11.65391703,11.77954441,11.71503322,11.55625999,11.27643181,11.51579253,11.63756616,11.76752421,11.52020003,11.68915094,11.82496941,12.06602669,11.64543116,12.52865143,12.16825045,11.70756374,12.31364872,11.5016375,12.27101396,11.72162462,12.18218269,12.12760307,12.20313234,11.99536369,12.10315571,11.56182856,11.86527891,11.55933363,11.71426291,11.75472235,12.5354729,11.12546699,11.81121664,11.77756182,11.20361962,11.53710731,11.93166644,12.10335353,11.95784953,12.01829192,11.7114149,11.93961589,11.84844908,11.4257784
X200965_s_at,8.962607657,9.531718073,10.23867976,9.819279379,11.48923346,11.18877311,10.11002069,11.02937201,10.93496996,10.5565843,10.1535643,10.33476029,10.8259874,10.70482236,10.78504006,9.76550055,9.553340129,11.67697584,9.852755853,10.81150366,11.18495715,11.200689,11.0372717,10.87679471,10.06453437,9.972833203,11.01038403,11.09246979,11.39207176,11.18790413,11.20659919,8.399008879,10.67147077,10.14610821,11.62080597,9.651317283,11.18943969,10.45881186,10.20666239,10.4259416,9.404234999,10.33751264,10.69224867,10.71730802,10.20599392,11.25594404,10.63934529,10.37249211,8.391586711,9.501856616,10.36423142,10.35967986,10.3530826,11.61068731,11.67436276,10.06480445,7.844739623,11.21138717,11.06998245,8.213251306,10.43915257,11.79030498,10.34928602,9.618597745,10.10820055,10.50519933,11.42689865,10.50873883,9.231099293,10.7982008,10.25741268,9.626678177,10.84678764,10.0817022,11.26801262,8.786889155,10.94393066,10.35986518,9.586947075,10.45752856,10.7911254,10.16284841,10.65600698,11.24126958,10.73232801,9.408573836,9.595232989,11.33792347,10.57783104,11.52147655,10.92027502,11.21064399,10.42599657,10.3345268,11.10249196,12.20325758,11.18693728,10.62207686,10.23997667,11.10512115,10.0246212,11.44450474,11.25188381,12.59508207,11.39198878,10.89302064,11.97338052,11.13395148,9.357498336,10.24707938,10.38708324,11.20217166,10.54373658,10.18984582,10.65325034,10.57295618,10.77815848,10.51145022,10.30146617,11.05664178,10.24618738,11.94065998,11.35840634,11.62622749,10.69573645,11.3682301,11.38680891,9.852093603,9.553782602,9.810051501,10.29856637,10.96550226,11.4098312,10.30079078,10.67664103,10.68711134,9.998826904,11.00729534,10.78864407,12.39632428,8.741980006,10.35488513,11.07767831,11.67496705,10.96875277,11.34729126,10.75522035,11.74094123,10.53652001,10.11089487,11.57199281,11.06916004,10.87163041,10.65308375,10.09771217,10.18273686,10.71334431,10.37342065,11.56606114,10.48634483,10.51867347,10.24928848,10.75602791,9.777997744,10.59825729,8.235103382,11.25986006,11.09712084,9.316993639,11.60223048,7.780265709,10.30536679,9.73848719,9.451370723,10.80815169,9.703684999,9.896104732,9.304904418,12.01204156,10.82458714,10.86321248,10.82549179,10.32677218,8.955634436,9.44149316,8.879155046,9.9789194,10.66078487,11.89859281,9.692619953,9.276641421,10.15668931,10.66188658,8.323876264,10.42848236,9.615586545,10.52891128,9.901486155
X201068_s_at,11.63007782,12.62610618,12.57291911,12.10988765,11.77928509,11.88729638,11.71926311,11.72746426,11.63652874,11.80665443,12.23993084,12.13784604,11.0863246,12.11010248,12.26996559,11.97216574,12.3064179,11.93230785,12.34430671,11.69867879,12.16978227,12.33802359,11.86499655,11.95441392,12.68696901,11.48354575,11.9898359,11.49212169,12.30103557,11.96325912,12.11511703,12.15934689,11.73992342,12.03233227,11.39413701,12.67893782,11.70103078,11.97917035,12.3240731,11.64919867,12.69812517,11.66342527,11.98315633,11.98905066,11.92427959,12.00961016,11.43323776,11.84335257,12.08963137,12.16825235,12.60261603,12.08088464,12.56298034,11.89017698,12.3002437,12.11923789,11.58148393,12.19892702,12.5641063,12.79103484,12.01436937,11.91894877,12.38816947,12.73642831,12.27139876,11.95197381,12.17997541,12.52936887,11.83238182,12.83995073,11.96533808,12.00402805,12.14015874,12.06681443,12.22537118,12.07892838,11.63122883,10.86941115,12.48522387,11.84489583,11.80857949,12.25107586,11.7343128,12.36007528,12.11902892,12.60663378,12.32388739,11.85590442,11.90229352,12.0313747,12.6499574,11.89278245,12.79341406,12.38247217,12.13287299,12.37121762,12.13847977,12.42969297,11.60735807,12.14488605,12.14640107,11.9929814,11.2939256,11.7477931,12.96496066,11.49457992,11.24660982,11.59296808,11.70524395,12.5319186,10.67857192,11.94897246,12.50112926,11.69285773,11.26255321,11.94368893,12.49837807,11.89801213,12.58042076,12.1747478,12.03526469,12.33596358,12.03504165,11.63752068,12.06788913,12.24571125,11.54063407,12.03701083,12.6294127,11.9221036,11.92295002,11.94523915,12.5153364,12.29794167,12.16206478,11.91025925,12.5513672,12.00284032,12.58261782,11.56275039,11.53724245,11.83584244,11.43517843,11.99293655,11.90881192,11.87858336,11.15009051,11.82622031,11.78714095,12.87191905,12.48685312,11.83291746,11.50690376,11.77384967,11.43988484,11.34433049,12.12802853,11.48966392,11.04944249,11.65961027,11.64069102,12.25617459,11.73709231,11.83917053,11.86611724,12.39235635,11.70571627,11.62236876,12.2411254,11.79181636,12.99806894,11.9042627,12.24747421,11.80800623,12.12989556,11.80516128,11.690972,12.16109674,12.31185225,11.78379856,11.64732351,11.81712022,11.76929451,11.79409882,12.02241237,11.98437338,12.00359002,12.0273256,12.20772306,11.90064432,12.40452635,12.22195148,12.15096473,11.95527403,12.4208769,11.9628121,11.31845319,12.16755036
X201091_s_at,10.96410699,11.59471556,9.166087942,9.086937081,8.887616421,9.853283644,9.803191647,10.37644651,10.5457025,9.61304814,10.33612493,10.45148103,10.39907639,9.693087799,10.93175473,9.987399881,9.505779603,10.13369024,10.39310947,9.933908985,9.978905654,10.43327904,10.39359257,9.840433243,10.23597008,9.058498463,9.518521181,10.0039854,10.42863902,10.37917708,9.109595877,10.58761832,10.31308515,10.0127147,10.12417586,10.11010544,10.67343277,9.738341449,9.867869454,10.06121408,10.30273622,10.37937724,10.19572437,8.199741086,10.74436272,9.574618879,8.601962146,9.789077901,10.58001115,10.17068176,9.824782249,9.994536056,10.12010676,8.968335026,10.08944967,10.02424159,9.442839874,10.46171922,10.63801034,10.63552752,10.57352169,10.96881072,9.654252751,10.58763968,9.842596594,10.21480709,9.579991697,10.88136865,10.18918363,10.55057487,10.49651999,10.0204539,11.3873761,10.4063501,10.37049732,9.962079664,9.097899866,7.362833509,10.68565957,9.425590706,9.919276692,10.80671787,9.104565164,10.33211394,10.37761285,8.64483126,10.94250526,9.628263004,10.8260699,10.28675319,10.65276366,10.07519054,10.4270904,9.98227366,10.47799337,10.69683907,9.743844278,10.82571694,10.47707395,10.34032817,10.32266028,10.31305374,9.896497293,10.14670674,11.63500728,9.690409398,10.05253828,9.985151645,10.49305558,10.30551139,9.72361177,10.05278846,10.00288877,9.867317025,10.03409792,10.09679806,9.950119021,10.0434946,10.32074474,9.600396358,9.945149289,10.37104027,9.916621001,9.876145081,9.385213717,10.15727429,9.818956106,10.08230206,9.306234938,10.32607644,9.527677122,9.116803589,10.35990591,10.0773357,9.564602523,11.04149516,10.72519576,10.28767511,9.892751367,9.662046825,10.43224954,10.37085568,9.432837854,9.979726021,9.313081173,10.34729836,10.07937461,9.468286932,9.033857263,9.849192682,9.61907447,9.934274008,9.514374134,9.835169816,8.939366925,10.06735948,9.824356798,9.775367681,8.894958063,9.901890272,9.792803985,10.7066248,10.3479439,10.0799669,10.35335627,10.74710347,9.755184995,10.39381973,9.743679416,9.719216806,10.85151386,10.23494949,10.75118124,10.45664448,10.74160706,10.93630276,9.744815852,9.744775661,10.79491134,10.43599269,10.48028126,9.904451498,10.21409374,10.03415181,10.12820944,8.288579311,9.795935113,9.75372845,10.58675936,9.951361832,10.06831901,9.943351662,10.35532773,10.7400201,11.1459928,10.46317052,8.6096311,9.011729551
X201288_at,11.51830517,12.31765852,11.69865849,13.13261664,10.42966316,12.97952511,12.72894208,13.02953793,10.27498643,11.86015383,13.26235663,11.9517,11.49692289,12.95302912,11.7867251,11.25324889,11.46889018,12.33174167,12.65890788,12.46779696,12.76010595,11.95771661,11.86748811,12.66695844,13.06893596,12.84869783,12.58712867,11.54191257,11.5987394,12.83177649,13.27528318,11.08688944,10.96717866,12.43233966,12.85700591,11.16145824,12.4772467,13.00450964,12.83439998,12.77916713,12.37191231,12.09323522,12.00817685,12.63224004,12.79786649,12.13831384,10.93742571,11.1466342,11.70215106,11.92355283,11.96413975,12.10429418,12.25773377,12.94938996,12.51084804,11.484064,10.87349256,11.4884059,13.73039579,11.16065685,12.12980967,11.99964553,12.11526494,12.93750039,11.74512974,13.35464172,12.66351703,11.9778374,12.21548499,12.31796395,13.02455979,12.79983905,12.69584537,11.89512144,13.01355927,11.43410301,12.37624527,12.5887158,11.97463577,12.3269601,11.9732784,12.12897809,13.09259092,12.08707597,12.29827373,12.1942456,12.21179108,11.31590443,12.30885721,12.70236494,11.71070979,11.91472281,12.59734648,12.63056455,12.1134015,11.21269185,10.85134268,11.9553346,11.5416574,12.86844695,12.30145443,12.35676658,11.43567759,14.0129437,12.28457822,12.17527967,11.16036392,11.97418695,10.90093242,11.08657565,13.18220714,12.7145988,12.53991846,12.60607335,11.36161654,12.26326855,12.01565602,13.13202725,12.67832161,12.6569758,12.02131609,11.84455161,13.10181182,11.9152223,11.59058005,11.99161782,12.77172178,12.19078626,11.10050109,12.44042778,12.22011502,12.81769316,11.79828056,10.29508837,12.96547869,12.47884752,12.48622636,13.18130379,12.27906585,11.43267263,10.446244,10.56997809,12.89434713,13.63376294,12.29544994,13.31462035,12.73761963,13.01845229,12.57602892,12.57749459,13.57518981,12.6397955,12.91221702,12.02296136,12.16318087,12.47592173,12.85459235,12.1655521,12.0949603,12.77575787,12.67620959,12.02581815,12.25391517,11.25211642,11.4597469,12.08971256,12.91867251,11.83971576,11.8231386,12.83750043,12.20829912,11.2720272,13.58367196,12.28206783,11.91939812,11.20662759,12.770918,12.35878616,12.33027824,11.91491766,12.62578902,13.674177,12.42295262,11.54802882,12.82084303,12.12792708,13.10881441,12.49746747,12.28255035,12.32562985,12.83144929,12.56155876,12.30223388,11.15042801,11.08468474,11.5145387,13.71903483,12.01369183
X201368_at,12.03852721,10.7769106,11.35333308,11.85939354,11.40113905,12.49043625,11.08015811,12.43571933,10.39424471,12.10276157,11.70996535,12.25103207,12.5590706,12.56671296,11.32588487,9.977634815,12.54957976,11.22332302,12.08139828,12.71359913,12.15449312,10.86518659,11.64445385,11.53795114,11.76328325,11.74391719,13.69671277,12.43745967,13.30253141,12.7240984,12.49224374,12.06180687,11.22390244,11.50490721,12.19105118,10.94480101,11.83541966,11.42258115,11.67496479,12.25576379,12.25728784,10.13688867,13.02266743,12.11128709,11.86590638,12.57543904,12.18530523,11.39401098,10.86906699,11.10585642,11.29437727,11.20602405,11.58956034,12.11714868,11.85649349,10.75180844,10.43728883,11.67100267,12.05683708,11.70395717,11.89511722,12.05193405,11.6007601,11.59392859,11.08673017,11.71920685,12.18893995,11.2028537,10.69732217,12.82730743,12.27650236,12.5734633,11.92336997,11.80429783,12.32035645,11.01117259,12.87588418,11.96166198,10.78058357,11.8447586,12.22908408,12.3894232,11.69844543,12.04348911,11.40390497,12.26910165,11.63157995,12.44781542,11.23130638,12.60427659,12.04173554,12.39967198,10.67712817,11.66769717,11.99454106,11.54319215,11.69148945,12.77128328,11.80500731,13.0206522,12.03268298,12.26009751,11.78805019,12.77015969,12.55991991,12.18634603,12.69643441,12.78576516,10.80557991,11.4885067,11.05689888,12.32742053,11.93301287,11.78675436,12.73457493,12.02321367,13.01194491,12.65008528,12.19512143,12.66203586,11.54583624,12.02477851,12.58093058,12.07034098,12.3027254,11.19322292,12.65903139,12.18129487,12.28327667,13.35686492,11.19606639,12.18797149,11.9153729,11.14458809,12.49064875,12.1099803,11.91230333,12.65082565,11.598679,13.20437888,11.16074265,11.17796013,12.66175327,12.23823932,12.32214427,12.34824473,11.73384441,12.50469699,13.03900001,11.75933343,11.85346031,12.49434502,12.96231262,10.0996325,12.10795778,12.52926571,12.14454717,12.71036427,12.94801365,12.99972112,12.0545967,11.94239738,12.03206128,11.2217712,11.4673141,12.24936978,12.57714264,11.35976242,11.05684385,12.61325749,11.55351367,10.26118942,11.42491547,11.40420733,12.31677045,10.47213933,11.32351532,11.3640096,11.37128513,12.09704321,11.58755556,11.88955173,12.29147364,10.88697158,11.54723106,11.20596807,11.27006232,11.87380597,11.51724577,11.27782545,11.22165889,12.08932077,11.7481403,10.65087293,11.16975001,11.48739414,12.90981415,12.04608966
X201663_s_at,9.62351846,10.60457687,9.384926599,8.400838796,7.741091955,8.184889768,7.892031453,8.987552773,8.041853414,9.219456619,9.840365354,9.044541365,11.15650976,7.765459192,10.63911418,8.815351381,9.161568703,9.467579203,8.329404001,9.205161399,8.642037952,11.01185078,9.254444365,10.88649909,10.37494074,7.872881839,7.946499017,8.057086443,8.435197148,8.388060638,8.406654397,9.716014365,10.41765873,8.210077562,8.2807429,9.501588462,10.1081171,6.508908128,9.859614286,9.025853323,10.55641898,10.50790251,9.951927393,6.591551183,10.1566232,9.011660122,6.336848041,8.435451305,7.248337312,8.794110963,9.730670045,8.376104529,10.92643255,8.329342821,10.352131,8.606079995,8.6375103,9.952511786,9.610561799,10.68759745,10.08572331,9.661823743,9.315160389,8.102172066,7.999364363,8.663495584,6.410699498,8.534262253,8.255254868,9.12552331,8.425158837,10.1462173,9.268891707,10.64399929,9.334022453,10.09746997,7.94470323,6.917931502,9.3307409,8.855732448,8.267514018,10.6555432,7.977224435,10.10107497,7.968936682,9.947190969,9.288146847,9.044847576,9.253069992,10.51200756,11.34511261,9.649326049,11.02138795,11.65086255,10.97253449,11.23859546,9.788687864,9.393905825,10.3320807,8.831099825,10.08367933,10.07184769,8.988874147,10.34157723,10.36947933,9.390482918,8.875428171,9.367489453,10.12571047,8.554764013,9.543472878,8.540947023,8.670881753,9.492730447,9.381289373,9.445029932,9.783005157,9.673196167,10.10589744,9.34245284,10.15921416,9.949772936,9.818261637,10.49463707,10.00452577,9.513762156,9.214734357,10.74071691,11.09473639,10.21934247,8.366575187,9.088186373,10.013935,10.45038507,9.406496299,9.812049052,11.33173816,9.740822294,10.23191799,8.879986023,11.02233277,10.07367338,9.338302996,9.576044563,8.219652452,9.765750766,9.46022015,8.950804634,7.66839978,11.66413034,10.7619565,9.205436794,8.770548036,9.830178825,8.290812504,9.295505497,9.191782843,9.561707463,7.501099841,9.223961031,9.522406462,8.483944549,8.558973637,8.88881366,9.900698716,9.77377034,9.504906414,8.993053021,8.43125458,8.748034555,10.35832731,9.117460232,10.0707086,10.27773685,10.03401026,9.792682723,8.598132247,8.274578197,10.36300298,10.76695142,11.91548564,9.965993598,10.13000088,9.68587906,10.01701206,6.613392637,9.42242338,9.308924813,9.631381663,10.32466461,10.17899346,9.074705141,9.6129084,8.787548899,10.87053029,10.44356884,7.525994294,9.254448158
X201664_at,9.814798223,10.70432878,10.16165409,8.670721027,8.64201815,9.253347722,7.770374909,9.51535327,8.820112851,9.771621173,9.987542968,9.963763492,10.84201171,8.364175058,11.36691223,9.550790303,10.12823006,9.847232162,8.777120599,9.635563864,9.651677117,10.9122727,9.628411917,11.33134201,11.13487544,8.54689388,9.012071691,9.333990514,8.782166466,9.731923192,9.74263245,10.48649417,11.61040198,9.358218997,9.316670646,10.35381226,10.69661644,8.087344463,10.57705415,9.680414588,10.81653565,11.09460979,10.86629788,8.531538292,10.73842076,9.411929665,9.01688218,8.895532397,8.787649174,9.493514322,10.11223958,9.943575046,11.39956113,8.979396141,11.00628332,9.165250754,10.17235933,10.72479601,10.27821053,10.69024675,10.63586732,9.557783012,10.34087469,9.423486828,9.43113934,9.411216286,8.534698805,9.615729003,8.622352344,9.413912598,9.245505265,10.3713889,9.76781571,10.89410427,9.674483968,10.43076271,9.072266694,7.478219048,10.44046893,8.989836621,9.375104964,11.08380038,8.975777373,10.62302415,9.521236921,10.44914186,10.07210486,10.0523448,10.90560428,11.25488976,11.329939,10.43397191,11.29172924,11.75356359,11.66057048,11.52651109,10.37659469,10.27174513,10.69627875,9.755027833,10.75819509,10.7296461,9.811035747,11.07152729,10.95636534,10.34119576,9.735412683,10.59111575,10.50147352,9.656860394,10.03180354,9.58836636,9.637873831,10.0292466,9.977571701,10.08387734,10.29517173,10.14726328,10.27895964,10.17705301,10.55520908,10.7153563,10.1798398,10.8554797,10.60601489,9.932351143,10.26805325,11.06289318,11.96580706,11.32558072,9.065992371,10.12908359,10.32117669,11.23378109,10.41268022,10.18546746,11.23198088,10.63492226,10.59411095,9.795320968,11.56084789,10.68080671,10.15890608,10.00710698,9.532789459,10.45767443,10.09534681,9.682690583,9.448637331,11.87769021,10.72110899,10.07411553,9.593288525,10.89510211,9.373191228,10.36336837,10.22636632,10.15920195,9.144627078,10.82194958,10.20811528,9.06193247,9.623118887,9.131098756,10.4261821,10.09940524,9.67806857,9.519797639,9.744828047,9.619571429,10.39011818,10.26426466,10.44479542,10.39747299,10.71993092,10.15969194,9.166367031,9.136655208,11.19532834,11.1645112,11.8115779,10.72324759,10.59834808,10.14546241,10.25491254,8.361000905,10.21054187,10.0273384,9.837380409,10.72482889,10.70752342,9.377675393,10.56232843,9.747181952,11.1288823,11.1042272,8.255545767,9.751309692
